OBJECTID,NAME,long,lat
1,Columbia Heights,-77.0325544131,38.9278457592
2,Georgia Ave Petworth,-77.0234631972,38.9374424241
3,Takoma,-77.0181789926,38.9760863330
4,Brookland-CUA,-76.9945365690,38.9332187855
5,Fort Totten,-77.0022053642,38.9518545652
6,Benning Road,-76.9383671319,38.8909834638
7,Deanwood,-76.9352590469,38.9081862879
8,NoMa - Gallaudet U,-77.0030227322,38.9070240007
9,Tenleytown-AU,-77.0795896368,38.9488592293
10,Friendship Heights,-77.0849981187,38.9594916698
11,Foggy Bottom-GWU,-77.0502800383,38.9007057948
12,Farragut West,-77.0406977114,38.9013206802
13,Farragut North,-77.0397031233,38.9032097327
14,Dupont Circle,-77.0434166574,38.9096058452
15,Woodley Park-Zoo Adams Morgan,-77.0524203222,38.9250929275
16,L'Enfant Plaza,-77.0219107735,38.8848455113
17,Smithsonian,-77.0280685258,38.8880264859
18,Federal Triangle,-77.0281342903,38.8931886567
19,Archives-Navy Mem'l,-77.0219166780,38.8936730087
20,Waterfront,-77.0175074964,38.8764696488
21,Navy Yard - Ballpark,-77.0050879351,38.8764888672
22,Federal Center SW,-77.0158705045,38.8850801388
23,Judiciary Sq,-77.0166412451,38.8960981035
24,Capitol South,-77.0051417042,38.8850702850
25,McPherson Sq,-77.0336364662,38.9013405832
26,Metro Center,-77.0280802894,38.8983222591
27,Gallery Pl-Chinatown,-77.0219176807,38.8983245959
28,Mt Vernon Sq - 7th St Convention Center,-77.0219166711,38.9064446027
29,U St/African-Amer Civil War Memorial/Cardozo,-77.0274981861,38.9170101889
30,Shaw-Howard Univ,-77.0219139920,38.9134846603
31,Union Station,-77.0074165779,38.8977738258
32,Congress Heights,-76.9885142093,38.8456654796
33,Anacostia,-76.9953730186,38.8629708968
34,Eastern Market,-76.9960034081,38.8846300452
35,Potomac Ave,-76.9854975975,38.8812710577
36,Stadium Armory,-76.9770911770,38.8867168753
37,Rhode Island Ave,-76.9959392002,38.9210674809
38,Minnesota Ave,-76.9467500005,38.8991990122
39,Van Ness-UDC,-77.0629884863,38.9432730820
40,Cleveland Park,-77.0580448229,38.9347706829
